All beacon coordinates wrt scanner 0:
1910,-841,2728
3409,-1259,1232
1459,-2946,1852
4065,-1928,1918
-535,-4067,370
5534,-481,2048
3850,475,1708
2674,-2021,566
-457,2903,544
331,-1819,1871
4320,2978,1803
-602,-1950,1946
1471,-2922,1794
1548,-4134,1603
2210,-1222,-1300
1042,-1296,-129
2674,-1690,-638
5116,-1814,3156
-644,-1708,3097
3928,702,663
3923,2812,614
1485,-1846,2980
1665,-2078,636
1891,2977,-710
-846,-788,847
5390,585,1899
1694,-795,2038
3038,577,-765
341,-1737,1689
2836,-1620,-1857
-597,-5435,-1933
2995,-4243,1539
328,-4417,-586
-569,2944,620
-189,-18,-36
5083,-1776,2959
3153,-715,2863
1173,-1298,-1170
1563,-1987,2982
277,3012,418
-179,-3567,-1155
1883,1643,695
-576,-382,1634
-185,2422,-33
2717,-2832,490
5202,3168,1716
-421,-5487,460
5311,-686,661
353,-1601,-670
2933,-514,2050
1050,-2351,-1215
-621,-5393,-1967
5100,1652,1469
284,-1546,-1962
1704,-1843,1830
-33,-4756,-1315
684,1980,-2070
-614,-552,3118
777,-3280,-1984
1757,2783,381
2990,611,-797
4035,-484,392
-634,-5423,-1734
3940,-527,287
5424,686,509
-866,-800,792
3002,-4373,559
376,-4282,-527
-564,-2021,2035
-423,-5637,453
-488,-3217,-439
1920,839,698
371,1744,-681
1847,1624,-573
2782,-611,-1769
4665,2298,1085
2399,-2388,1093
6498,-1533,1894
2832,-2818,410
3899,625,1778
1661,-1646,-462
-873,-4317,-2081
1956,-4013,587
6294,-452,2009
428,-4029,702
383,-1637,-519
-884,-4174,-2068
3085,-774,2999
301,2916,340
-872,-759,819
2334,-2,-141
1151,-1148,53
243,1766,-616
690,1778,440
248,-4108,703
1424,-3035,1813
3041,-2975,1702
-667,-1903,-762
-114,-4857,-28
367,-4404,-653
1515,-1866,1858
5402,740,719
474,752,490
1517,-480,-390
384,3038,342
5421,2782,650
696,-671,3064
530,-331,781
3156,-2029,2938
4677,2460,1216
1165,-1197,2456
4305,-1911,713
3083,-1647,1845
806,-3304,-1900
381,-5553,-720
1459,-1871,1817
6729,-585,425
6274,-840,2910
2216,-95,4
2966,-4208,1573
6388,-1973,519
-589,-1957,1940
3013,506,-910
-11,2365,-129
-608,-801,-2131
2712,-2016,650
689,-790,-1823
1873,-4424,-1620
1894,-4132,658
6378,-1942,607
2818,-755,413
-548,759,-553
1032,67,-115
-555,-2981,605
1668,-1528,-407
6251,-874,2787
-764,-733,-2073
650,659,-1797
-879,573,497
-947,-4283,-2079
1903,2887,-716
2761,-1943,590
666,802,-675
-866,-533,-439
2003,-2814,600
2706,-1667,-1958
5120,-1632,724
2677,-1705,-550
-424,871,-557
-515,1567,420
6448,-1617,1891
5426,714,1897
2863,-4354,698
1902,2842,-580
2873,-457,-534
-558,-4367,-772
5220,1880,419
568,2886,-716
4076,-612,351
4126,1518,1715
578,591,-1954
6259,-854,2879
1927,1646,684
-723,1598,-729
3829,-1666,2932
1132,-100,-1
-465,666,-1914
-461,845,-513
5208,2032,296
2224,-2514,1153
1760,-806,566
1612,-3931,1572
2984,-1999,2976
6459,-1644,1785
3943,2824,454
340,-503,1708
1701,-3008,-596
1823,661,-2069
752,-597,3119
-466,-1536,827
1759,-3010,-1611
484,-1955,2664
1703,-4084,1532
449,-5319,778
2665,-1584,-614
692,-3216,-1899
1898,-4259,-748
-628,-531,1621
5205,-581,676
2956,-1711,1948
4322,2917,1630
602,-350,791
3852,-1804,2863
1933,-3091,-1589
-652,-4194,398
6435,-1745,3062
-744,-1722,3248
1819,-2990,-718
266,1597,-702
2726,-672,372
5201,1541,1472
423,-5562,-472
-472,-4151,324
6403,-502,1884
1835,442,-705
6626,-530,411
320,-520,1822
1852,1730,-1924
1712,2811,422
2285,-1209,1177
3494,-1190,2340
716,-623,-1742
5316,3067,1724
-561,-1644,815
-594,1617,-802
1503,-438,-490
5385,631,631
-74,1192,17
5460,-675,2044
336,-5609,-2016
-561,1544,-785
-789,-1849,-865
1707,-435,-423
1838,1844,-604
1069,1222,-1172
4073,-692,1794
341,-2855,739
-596,-2992,358
3038,-1540,1964
-881,-566,-507
691,-331,736
5067,-344,2862
433,785,439
409,618,496
657,-677,-1794
1673,-688,1936
-849,-613,-550
344,-570,1872
1028,1275,-137
3041,-823,2909
2930,-510,-390
-659,-1629,3231
2239,-3703,1197
1611,-471,-1846
4180,-1825,788
1937,-731,2888
5197,2817,650
562,-542,-504
318,-5584,-622
-511,-2906,426
5217,1573,1540
429,-1697,-661
633,-540,-558
1746,-2079,794
303,-2872,639
3910,611,755
5116,-368,2765
4788,1187,1191
1936,-618,2740
3818,-1709,3002
-480,-5675,-696
448,-1980,2863
2701,646,521
4188,-717,1647
1724,-1579,-455
2934,-4420,723
6376,-1867,523
593,2760,-825
2809,-4266,1492
5517,626,1873
-760,-473,3139
342,-1545,-2139
2243,-1215,2408
2917,-609,-562
5361,3110,1733
3552,-1168,1145

Rotations and offsets for each scanner wrt scanner 0:
Scanner 0: rot x,y,z   off 0,0,0
Scanner 1: rot z,-x,-y   off 1167,-2366,-1155
Scanner 2: rot -z,x,-y   off 1174,52,-1197
Scanner 3: rot -z,-x,y   off -118,-1199,2300
Scanner 4: rot -x,y,-z   off 2235,-1278,1231
Scanner 5: rot -x,z,y   off -176,-3622,-1332
Scanner 6: rot -y,x,z   off 2353,-1317,-1185
Scanner 7: rot -y,-x,-z   off 1043,-3698,-1315
Scanner 8: rot x,-z,y   off 1097,-115,-112
Scanner 9: rot y,z,x   off 1085,2334,30
Scanner 10: rot x,-y,-z   off 3482,-1294,2448
Scanner 11: rot y,x,-z   off -33,-61,-1239
Scanner 12: rot -x,-z,-y   off 1074,-1275,45
Scanner 13: rot -x,-y,z   off 1079,1212,-1164
Scanner 14: rot -y,z,-x   off 4788,-1246,1252
Scanner 15: rot -z,-y,-x   off 1126,-1165,2407
Scanner 16: rot y,-z,-x   off 2274,-1197,-71
Scanner 17: rot -z,y,x   off -55,1187,-97
Scanner 18: rot z,y,-x   off 1070,1093,-62
Scanner 19: rot z,x,y   off -85,-4917,50
Scanner 20: rot z,-y,x   off 4778,2364,1246
Scanner 21: rot x,z,-y   off 1127,-2418,-93
Scanner 22: rot -y,-z,x   off 4780,56,1252
Scanner 23: rot y,-x,z   off 1131,-1276,-1223
Scanner 24: rot y,x,-z   off 2395,-106,-98
Scanner 25: rot z,-y,x   off 5917,-1266,1251
Scanner 26: rot z,x,y   off 2298,-2362,1159
Scanner 27: rot x,-z,y   off -43,2417,-105
Scanner 28: rot x,y,z   off 2384,-3626,1097
Scanner 29: rot y,-x,z   off -37,-4786,-1203
Scanner 30: rot -z,-x,y   off 5920,-1317,2386
Scanner 31: rot -x,y,-z   off 2325,-1216,2449
Scanner 32: rot x,y,z   off 3507,-1224,1185
Scanner 33: rot x,y,z   off 4709,1128,1142
Scanner 34: rot -z,-x,y   off -107,-2447,37
